loc,Latitude,Longitude
高雄啟智學校,22.6353841,120.3225235
五權國小,22.6205225,120.324263
成功國小,22.6138611,120.2969769
凱旋國小,22.6365309,120.3201456
福東國小,22.6239508,120.3269824
中正國小,22.6301563,120.3333105
苓洲國小,22.6156468,120.2999867
福康國小,22.6189226,120.3291688
中正運動場,22.6254698,120.3339431
中正高中,22.6265229,120.3387726
國際商工,22.6212347,120.326302
三信家商,22.622051,120.3287805
道明中學,22.6334167,120.3227129
大仁國中,22.6328495,120.3295446
英明國中,22.6153762,120.3250244
四維國小,22.6233687,120.3131905
五福國中,22.6290438,120.3171255
中正高工,22.6106389,120.3175404
瑞祥高中,22.601546,120.325369
成功啟智學校,22.6057589,120.3020554
獅甲國中,22.6051828,120.3083237
興仁國中,22.5865603,120.3138282
光華國中,22.6112426,120.3223201
瑞豐國中,22.6111237,120.3313247
佛公國小,22.5728911,120.3208237
愛群國小,22.6137805,120.3124871
光華國小,22.6154178,120.3201072
民權國小,22.6085941,120.3144367
明正國小,22.5802864,120.3265098
瑞豐國小,22.6060595,120.3370589
瑞祥國小,22.6008554,120.3271408
鎮昌國小,22.5903746,120.3181405
仁愛國小,22.5821368,120.3171795
樂群國小,22.6081126,120.3234137
復興國小,22.6083867,120.3117284
前鎮國中,22.5829399,120.3196753
前鎮國小,22.5866142,120.3084173
獅甲國小,22.6064595,120.3073229
紅毛港國小,22.5837021,120.3347127
楠梓高中,22.7440444,120.3311546
中山高中,22.728544,120.2928835
後勁國中,22.7224795,120.3159796
翠屏國中、小,22.7282461,120.2995409
莒光國小,22.7115577,120.2952748
楠梓國小,22.7334902,120.3278826
右昌國小,22.7136744,120.2921528
右昌國中,22.7136653,120.2869924
國昌國中,22.7190466,120.2856002
後勁國小,22.7217257,120.3141433
援中國小,22.7279024,120.2783981
加昌國小,22.7205091,120.2964888
楠陽國小,22.7249466,120.3311944
油廠國小,22.7089574,120.3025756
楠梓國中,22.7352407,120.3265548
